2011-01-01,2011-12-31,,,,,,,,P,P,,P,,,,,,,,,,,,NO,,,,,
2011-01-01,2011-12-31,P,,P,P,P,P,P,,,P,,P,P,P,P,,P,P,P,P,P,P,NO,EN,,,,DS
2011-01-01,2011-12-31,,P,,,,,,,,,,,,,,P,,,,,,,NO,,,GO,,DS
2012-01-01,2012-12-31,,,,,,,,P,P,,P,,,,,,,,,,,,NO,,,,,
2012-01-01,2012-12-31,P,,P,P,P,P,P,,,P,,P,P,P,P,,P,P,P,P,P,P,NO,EN,,,,DS
2012-01-01,2012-12-31,,P,,,,,,,,,,,,,,P,,,,,,,NO,,,,,DS
2013-01-01,2013-01-02,,,,,,,,P,P,,P,,,,,,,,,,,,NO,,,,,
2013-01-01,2013-01-02,P,,P,P,P,P,P,,,P,,P,P,P,P,,P,P,P,P,P,P,NO,EN,,,,
2013-01-01,2013-01-02,,P,,,,,,,,,,,,,,P,,,,,,,NO,,,,,DS
2013-01-03,2013-12-31,,,,,,,,P,P,,P,,,,,,,,,,,,NO,,,,,
2013-01-03,2013-12-31,P,,P,P,P,P,P,,,P,,P,P,P,P,,P,P,P,P,P,P,NO,EN,,,,
2013-01-03,2013-12-31,,P,,,,,,,,,,,,,,P,,,,,,,NO,,,,,DS
2014-01-01,2999-12-31,,P,,,,,,P,P,,P,,,,,P,,,,,,,NO,,,,,
2014-01-01,2999-12-31,P,,P,P,P,P,P,,,P,,P,P,P,P,,P,P,P,P,P,P,NO,,,,,
